,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Apt Size
5722,sh,t0039072,Rent Change,2/22/2018,WC5956L,2/24/2018,,650.0,0,963,2,1.5,-65.0,,medium
5723,sh,t0039072,Rent Change,2/22/2018,FT5862O,2/24/2018,,650.0,0,932,2,1.0,0.0,,medium
5724,fh,t0039073,Rent Change,9/20/2018,1034D,9/19/2018,,984.0,0,700,1,1.0,0.0,,medium
5725,ce,t0039078,Rent Change,3/24/2018,C5307K,4/20/2018,,667.0,0,675,1,1.0,0.0,,medium
5726,ce,t0039078,Rent Change,4/30/2018,C5307K,4/20/2018,,723.0,0,675,1,1.0,56.0,,medium
5727,ce,t0039081,Rent Change,3/31/2018,C0011L,3/1/2018,,846.0,0,905,2,1.0,0.0,,medium
5728,ce,t0039082,Rent Change,3/19/2018,M0010B,3/30/2018,,728.0,0,875,2,1.5,0.0,,medium
5729,ce,t0039082,Rent Change,4/30/2018,M0010B,3/30/2018,,787.0,0,875,2,1.5,59.0,,medium
5730,ce,t0039083,Rent Change,3/31/2018,M0006D,3/1/2018,,883.0,0,875,2,1.5,0.0,,medium
5731,fh,t0039084,Rent Change,4/19/2018,4739B,6/15/2018,,1060.0,0,912,2,1.0,0.0,,medium
5732,fh,t0039084,Rent Change,4/19/2018,4739B,6/15/2018,,1135.0,0,912,2,1.0,75.0,,medium
5733,fh,t0039084,Rent Change,4/24/2018,1041B,5/11/2018,,1060.0,0,912,2,1.0,-75.0,,medium
5734,fh,t0039084,Rent Change,4/24/2018,1041B,6/15/2018,,1000.0,0,912,2,1.0,-60.0,,medium
5735,ce,t0039087,Rent Change,1/31/2018,M0016B,2/17/2017,2/23/2018,741.0,1,875,2,1.5,0.0,23 days 00:00:00.000000000,medium
5736,sh,t0039097,Rent Change,3/2/2018,WC5956P,3/22/2018,,715.0,0,963,2,1.5,0.0,,medium
5737,sh,t0039099,Rent Change,2/27/2018,TT1174,4/1/2018,,1330.0,0,1350,3,1.5,0.0,,large
5738,sh,t0039101,Rent Change,3/31/2018,WC5946B,2/28/2018,11/26/2018,756.0,1,950,2,2.0,0.0,240 days 00:00:00.000000000,medium
5739,sh,t0039104,Rent Change,2/24/2018,AC1065,2/28/2018,,1080.0,0,1350,3,1.5,0.0,,large
