ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"ce","S1500-1J","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-2J","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-3A","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-3E","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-3J","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-4A","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-4B","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-4E","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-4J","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-6A","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-6B","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-6E","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-6J","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-4F","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","S1500-4K","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
