Unit_Code,Ref_Unit_Id,Property_Code,Ref_Property_ID,Record_Type,Date,Rent,Deposit,Sqft,FSetAside,UtilityAllowance,ContractRent,RoomId,BedId,RDBasicRent,NewRentsId
4779A,,fh,,Rent Change,3/12/2018,1035,0,912,0,0,0,,,0,
4779A,,fh,,Rent Change,11/19/2018,1099,0,912,0,0,0,,,0,
4779B,,fh,,New Unit,8/2/2017,850,0,700,0,0,0,,,0,
4779B,,fh,,Rent Change,11/16/2017,899,0,700,0,0,0,,,0,
4779B,,fh,,Rent Change,3/12/2018,984,0,700,0,0,0,,,0,
4779B,,fh,,Rent Change,11/19/2018,975,0,700,0,0,0,,,0,
4779C,,fh,,New Unit,8/2/2017,1075,0,912,0,0,0,,,0,
4779C,,fh,,Rent Change,3/12/2018,1235,0,912,0,0,0,,,0,
4779C,,fh,,Rent Change,5/25/2018,1210,0,912,0,0,0,,,0,
4779C,,fh,,Rent Change,11/19/2018,1199,0,912,0,0,0,,,0,
4779D,,fh,,New Unit,8/2/2017,950,0,700,0,0,0,,,0,
4779D,,fh,,Rent Change,3/12/2018,1040,0,700,0,0,0,,,0,
4779D,,fh,,Rent Change,4/27/2018,999,0,700,0,0,0,,,0,
4779D,,fh,,Rent Change,11/19/2018,1050,0,700,0,0,0,,,0,
4783A,,fh,,New Unit,8/2/2017,850,0,700,0,0,0,,,0,
4783A,,fh,,Rent Change,11/16/2017,899,0,700,0,0,0,,,0,
4783A,,fh,,Rent Change,3/12/2018,984,0,700,0,0,0,,,0,
4783A,,fh,,Rent Change,11/19/2018,975,0,700,0,0,0,,,0,
4783B,,fh,,New Unit,8/2/2017,975,0,912,0,0,0,,,0,
4783B,,fh,,Rent Change,3/12/2018,1035,0,912,0,0,0,,,0,
4783B,,fh,,Rent Change,3/12/2018,1135,0,912,0,0,0,,,0,
4783B,,fh,,Rent Change,11/19/2018,1099,0,912,0,0,0,,,0,
4783C,,fh,,New Unit,8/2/2017,1025,0,700,0,0,0,,,0,
4783C,,fh,,Rent Change,3/12/2018,1115,0,700,0,0,0,,,0,
4783C,,fh,,Rent Change,4/27/2018,1074,0,700,0,0,0,,,0,
4783C,,fh,,Rent Change,5/25/2018,999,0,700,0,0,0,,,0,
4783C,,fh,,Rent Change,11/19/2018,1050,0,700,0,0,0,,,0,
4783D,,fh,,New Unit,8/2/2017,880,0,912,0,0,0,,,0,
4783D,,fh,,Rent Change,5/31/2018,955,0,912,0,0,0,,,0,
4784A,,fh,,New Unit,8/2/2017,975,0,912,0,0,0,,,0,
4784A,,fh,,Rent Change,3/12/2018,1135,0,912,0,0,0,,,0,
4784A,,fh,,Rent Change,3/12/2018,1035,0,912,0,0,0,,,0,
