,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy,City,State,Zip_Code,SQFT,BedRooms,Bathroom
308,ce,t0033609,Rent Change,2014-08-27,C0003A,2014-09-01,,660.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
312,ce,t0013756,Move Out,2015-08-25,C0003B,2008-09-01,2015-08-15,680.0,0.0,2539 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
317,ce,t0013756,Rent Change,2013-04-26,C0003B,2008-09-01,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
318,ce,t0013756,Rent Change,2013-04-30,C0003B,2008-09-01,,630.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
319,ce,t0013756,Rent Change,2013-09-01,C0003B,2008-09-01,,660.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
322,ce,t0013756,Rent Change,2014-09-30,C0003B,2008-09-01,,680.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
326,ce,t0025950,Move Out,2018-11-07,C0003B,2015-09-21,2018-11-06,849.0,0.0,1142 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
343,ce,t0025950,Rent Change,2016-08-31,C0003B,2015-09-21,,736.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
344,ce,t0025950,Rent Change,2016-09-30,C0003B,2015-09-21,,762.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
346,ce,t0025950,Rent Change,2017-08-31,C0003B,2015-09-21,,797.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
347,ce,t0025950,Rent Change,2017-09-30,C0003B,2015-09-21,,849.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
353,ce,t0041154,Rent Change,2018-11-28,C0003B,2018-12-01,,799.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
358,ce,t0013757,Move Out,2014-09-02,C0003C,2012-08-03,2014-08-31,670.0,0.0,758 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
362,ce,t0013757,Rent Change,2013-04-26,C0003C,2012-08-03,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
363,ce,t0013757,Rent Change,2013-04-30,C0003C,2012-08-03,,640.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
364,ce,t0013757,Rent Change,2013-09-01,C0003C,2012-08-03,,670.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
368,ce,t0023090,Move Out,2018-10-05,C0003C,2014-09-12,2018-09-30,759.0,0.0,1479 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
378,ce,t0023090,Rent Change,2015-09-30,C0003C,2014-09-12,,707.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
380,ce,t0023090,Rent Change,2016-09-30,C0003C,2014-09-12,,749.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
382,ce,t0023090,Rent Change,2017-09-30,C0003C,2014-09-12,,759.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
385,ce,t0041229,Rent Change,2018-11-30,C0003C,2018-12-07,,809.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
389,ce,t0041229,Rent Change,2018-12-31,C0003C,2018-12-07,,799.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
391,ce,t0013758,Move Out,2013-09-04,C0003D,2003-10-01,2013-08-31,640.0,0.0,3622 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
396,ce,t0013758,Rent Change,2013-04-26,C0003D,2003-10-01,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
397,ce,t0013758,Rent Change,2013-04-30,C0003D,2003-10-01,,640.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
399,ce,t0015823,Move Out,2014-06-02,C0003D,2013-10-05,2014-06-02,680.0,0.0,240 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
408,ce,t0015823,Rent Change,2013-10-31,C0003D,2013-10-05,,680.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
409,ce,t0025286,Rent Change,2015-05-15,C0003D,2015-06-12,,690.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
417,ce,t0025870,Move Out,2018-08-03,C0003D,2015-08-15,2018-07-31,789.0,0.0,1081 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
426,ce,t0025870,Rent Change,2016-07-31,C0003D,2015-08-15,,771.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
427,ce,t0025870,Rent Change,2016-08-31,C0003D,2015-08-15,,784.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
429,ce,t0025870,Rent Change,2017-07-31,C0003D,2015-08-15,,787.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
430,ce,t0025870,Rent Change,2017-08-31,C0003D,2015-08-15,,789.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
434,ce,t0040799,Rent Change,2018-10-31,C0003D,2018-09-27,,879.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
440,ce,t0013759,Move Out,2014-06-02,C0003E,2008-06-26,2014-06-01,650.0,0.0,2166 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
445,ce,t0013759,Rent Change,2013-04-26,C0003E,2008-06-26,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
446,ce,t0013759,Rent Change,2013-04-30,C0003E,2008-06-26,,640.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
447,ce,t0013759,Rent Change,2013-06-30,C0003E,2008-06-26,,650.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
451,ce,t0021751,Move Out,2015-12-31,C0003E,2014-08-22,2015-12-31,697.0,0.0,496 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
461,ce,t0021751,Rent Change,2015-08-31,C0003E,2014-08-22,,697.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
463,ce,t0028396,Move Out,2018-02-12,C0003E,2016-02-11,2018-02-10,759.0,0.0,730 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
473,ce,t0028396,Rent Change,2017-01-31,C0003E,2016-02-11,,748.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
474,ce,t0028396,Rent Change,2017-02-28,C0003E,2016-02-11,,759.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
477,ce,t0013760,Move Out,2014-08-25,C0003F,2003-09-19,2014-08-25,665.0,0.0,3993 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
483,ce,t0013760,Rent Change,2013-04-26,C0003F,2003-09-19,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
484,ce,t0013760,Rent Change,2013-04-30,C0003F,2003-09-19,,640.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
486,ce,t0013760,Rent Change,2013-12-01,C0003F,2003-09-19,,665.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
493,ce,t0023411,Move Out,2015-05-31,C0003F,2014-10-01,2015-05-27,670.0,0.0,238 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
510,ce,t0023411,Rent Change,2014-09-29,C0003F,2014-10-01,,670.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
517,ce,t0025284,Move Out,2016-10-10,C0003F,2015-07-15,2016-09-30,724.0,0.0,443 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
521,ce,t0025284,Rent Change,2015-06-27,C0003F,2015-07-01,,690.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
