,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Property_Code_ce,Property_Code_fh,Property_Code_mpg,Property_Code_sh,Apt Size_0,Apt Size_large,Apt Size_medium,Apt Size_small
533,670.0,1,875,2,1.5,20.0,246,1,0,0,0,0,0,1,0
534,685.0,1,875,2,1.5,0.0,426,1,0,0,0,0,0,1,0
535,555.0,1,635,1,1.0,0.0,384,1,0,0,0,0,0,1,0
549,565.0,1,635,1,1.0,0.0,62,1,0,0,0,0,0,1,0
550,635.0,1,875,2,1.5,0.0,365,1,0,0,0,0,0,1,0
552,657.0,1,875,2,1.5,7.0,366,1,0,0,0,0,0,1,0
553,675.0,1,875,2,1.5,0.0,372,1,0,0,0,0,0,1,0
554,675.0,1,875,2,1.5,0.0,699,1,0,0,0,0,0,1,0
556,685.0,1,875,2,1.5,20.0,385,1,0,0,0,0,0,1,0
559,595.0,1,635,1,1.0,34.0,91,1,0,0,0,0,0,1,0
565,582.0,1,635,1,1.0,17.0,395,1,0,0,0,0,0,1,0
566,655.0,1,875,2,1.5,0.0,546,1,0,0,0,0,0,1,0
570,665.0,1,875,2,1.5,20.0,27,1,0,0,0,0,0,1,0
572,675.0,1,875,2,1.5,6.0,211,1,0,0,0,0,0,1,0
573,555.0,1,635,1,1.0,0.0,273,1,0,0,0,0,0,1,0
574,565.0,1,635,1,1.0,0.0,365,1,0,0,0,0,0,1,0
578,656.0,1,635,1,1.0,27.0,365,1,0,0,0,0,0,1,0
579,651.0,1,875,2,1.5,0.0,485,1,0,0,0,0,0,1,0
580,644.0,1,875,2,1.5,0.0,365,1,0,0,0,0,0,1,0
584,719.0,1,875,2,1.5,24.0,365,1,0,0,0,0,0,1,0
588,829.0,1,875,2,1.5,30.0,73,1,0,0,0,0,0,1,0
591,675.0,1,875,2,1.5,11.0,204,1,0,0,0,0,0,1,0
592,551.0,1,635,1,1.0,0.0,356,1,0,0,0,0,0,1,0
597,626.0,1,635,1,1.0,27.0,244,1,0,0,0,0,0,1,0
