,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy
4737,ce,t0014105,Deposit Accounting,2014-01-13,M0007B,2006-09-01,2013-11-15,535.0,0.0,2632 days 00:00:00.000000000,0
4741,ce,t0014105,Month to Month,2013-11-01,M0007B,2006-09-01,,535.0,0.0,,0
4742,ce,t0014106,Adjust Moveout Dates,2013-12-14,M0007C,2012-10-12,2013-12-21,545.0,0.0,435 days 00:00:00.000000000,0
4743,ce,t0014106,Move Out,2013-12-26,M0007C,2012-10-12,2013-12-21,545.0,0.0,435 days 00:00:00.000000000,1
4744,ce,t0014106,Deposit Change,2014-03-29,M0007C,2012-10-12,2013-12-21,545.0,0.0,435 days 00:00:00.000000000,0
4745,ce,t0014106,Deposit Accounting,2014-03-29,M0007C,2012-10-12,2013-12-21,545.0,0.0,435 days 00:00:00.000000000,0
4746,ce,t0014106,Notice Given,2013-11-13,M0007C,2012-10-12,2013-12-15,545.0,0.0,429 days 00:00:00.000000000,0
4750,ce,t0014106,Month to Month,2013-11-01,M0007C,2012-10-12,,545.0,0.0,,0
4751,ce,t0014107,Notice Given,2013-07-09,M0007D,2012-03-01,2013-07-19,545.0,0.0,505 days 00:00:00.000000000,0
4752,ce,t0014107,Move Out,2013-07-22,M0007D,2012-03-01,2013-07-19,545.0,0.0,505 days 00:00:00.000000000,1
4753,ce,t0014107,Deposit Accounting,2013-07-29,M0007D,2012-03-01,2013-07-19,545.0,0.0,505 days 00:00:00.000000000,0
4788,ce,t0014110,Adjust Moveout Dates,2013-10-07,M0008A,2012-12-01,2013-10-04,625.0,0.0,307 days 00:00:00.000000000,0
4789,ce,t0014110,Move Out,2013-10-07,M0008A,2012-12-01,2013-10-04,625.0,0.0,307 days 00:00:00.000000000,1
4790,ce,t0014110,Deposit Change,2013-10-17,M0008A,2012-12-01,2013-10-04,625.0,0.0,307 days 00:00:00.000000000,0
4791,ce,t0014110,Deposit Accounting,2013-10-17,M0008A,2012-12-01,2013-10-04,625.0,0.0,307 days 00:00:00.000000000,0
4792,ce,t0014110,Adjust Deposit Accounting,2013-10-17,M0008A,2012-12-01,2013-10-04,625.0,0.0,307 days 00:00:00.000000000,0
4793,ce,t0014110,Adjust Deposit Accounting,2013-10-18,M0008A,2012-12-01,2013-10-04,625.0,0.0,307 days 00:00:00.000000000,0
4794,ce,t0014110,Notice Given,2013-09-12,M0008A,2012-12-01,2013-09-30,625.0,0.0,303 days 00:00:00.000000000,0
4824,ce,t0014113,Notice Given,2013-09-12,M0008D,2012-09-07,2013-09-30,635.0,0.0,388 days 00:00:00.000000000,0
4825,ce,t0014113,Move Out,2013-09-30,M0008D,2012-09-07,2013-09-30,635.0,0.0,388 days 00:00:00.000000000,1
4826,ce,t0014113,Deposit Change,2013-11-01,M0008D,2012-09-07,2013-09-30,635.0,0.0,388 days 00:00:00.000000000,0
4827,ce,t0014113,Deposit Accounting,2013-11-01,M0008D,2012-09-07,2013-09-30,635.0,0.0,388 days 00:00:00.000000000,0
4845,ce,t0014115,Notice Given,2013-06-25,M0008F,2012-06-27,2013-06-30,645.0,0.0,368 days 00:00:00.000000000,0
4846,ce,t0014115,Move Out,2013-07-01,M0008F,2012-06-27,2013-06-30,645.0,0.0,368 days 00:00:00.000000000,1
4847,ce,t0014115,Deposit Change,2013-07-11,M0008F,2012-06-27,2013-06-30,645.0,0.0,368 days 00:00:00.000000000,0
4848,ce,t0014115,Deposit Accounting,2013-07-11,M0008F,2012-06-27,2013-06-30,645.0,0.0,368 days 00:00:00.000000000,0
4868,ce,t0014117,Adjust Moveout Dates,2013-05-30,M0009B,2011-07-01,2013-06-30,535.0,0.0,730 days 00:00:00.000000000,0
4869,ce,t0014117,Move Out,2013-07-02,M0009B,2011-07-01,2013-06-30,535.0,0.0,730 days 00:00:00.000000000,1
4870,ce,t0014117,Deposit Change,2013-07-11,M0009B,2011-07-01,2013-06-30,535.0,0.0,730 days 00:00:00.000000000,0
4871,ce,t0014117,Deposit Accounting,2013-07-11,M0009B,2011-07-01,2013-06-30,535.0,0.0,730 days 00:00:00.000000000,0
4872,ce,t0014117,Adjust Deposit Accounting,2013-07-18,M0009B,2011-07-01,2013-06-30,535.0,0.0,730 days 00:00:00.000000000,0
