ResUnitStatus,,,,,,,,,,,,,,,,,,,,,
Property_Code,Ref_Property_ID,StartDate,EndDate,Unit_Code,Date,Status,Tenant_Code,Ext_Ref_Tenant_Id,ApplyDate,ApproveDate,SignDate,MoveInDate,MoveOutDate,LeaseFromDate,LeaseToDate,NoticeDate,AvailableDate,RentReady,VacantDate,ReadyDate,Ref_Unit_Id
sh,,12/19/2013,1/22/2014,FT5779,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5781,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5786,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5788,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5789,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5791,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,2/23/2014,FT5801,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5803,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5807,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5809,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5814,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5815,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5816,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5817,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5821,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5823,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5824,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
