,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
2353,ce,t0025050,Rent Change,2015-07-27,S1500-2M,2015-07-01,,726.0,0,955,2,2.0,0.0,
2354,ce,t0025050,Rent Change,2016-06-30,S1500-2M,2015-07-01,2017-06-30,759.0,1,955,2,2.0,33.0,365 days 00:00:00.000000000
1026,ce,t0025072,Rent Change,2015-04-20,C5273K,2015-05-15,,639.0,0,675,1,1.0,0.0,
1027,ce,t0025072,Rent Change,2016-05-01,C5273K,2015-05-15,,650.0,0,675,1,1.0,11.0,
1028,ce,t0025072,Rent Change,2016-05-31,C5273K,2015-05-15,,659.0,0,675,1,1.0,9.0,
1029,ce,t0025072,Rent Change,2016-10-31,C5273K,2015-05-15,,674.0,0,675,1,1.0,15.0,
1030,ce,t0025072,Rent Change,2016-11-30,C5273K,2015-05-15,2017-11-14,687.0,1,675,1,1.0,13.0,349 days 00:00:00.000000000
7059,sh,t0025073,Rent Change,2017-05-31,WC5960H,2015-05-18,,641.0,0,963,2,1.5,0.0,
7060,sh,t0025073,Rent Change,2017-06-30,WC5960H,2015-05-18,2018-03-26,653.0,1,963,2,1.5,12.0,269 days 00:00:00.000000000
1063,ce,t0025093,Rent Change,2016-03-31,C5303B,2015-04-24,2016-04-23,603.0,1,675,1,1.0,0.0,23 days 00:00:00.000000000
5980,ce,t0025098,Rent Change,2015-06-30,M0003F,2015-06-17,,1410.0,0,875,2,1.5,0.0,
5981,ce,t0025098,Rent Change,2015-07-31,M0003F,2015-06-17,,705.0,0,875,2,1.5,-705.0,
5982,ce,t0025098,Rent Change,2016-05-31,M0003F,2015-06-17,,719.0,0,875,2,1.5,14.0,
5983,ce,t0025098,Rent Change,2016-06-30,M0003F,2015-06-17,,735.0,0,875,2,1.5,16.0,
5984,ce,t0025098,Rent Change,2017-05-31,M0003F,2015-06-17,,746.0,0,875,2,1.5,11.0,
5985,ce,t0025098,Rent Change,2017-06-30,M0003F,2015-06-17,,758.0,0,875,2,1.5,12.0,
5986,ce,t0025098,Rent Change,2018-05-31,M0003F,2015-06-17,,777.0,0,875,2,1.5,19.0,
5987,ce,t0025098,Rent Change,2018-06-30,M0003F,2015-06-17,,800.0,0,875,2,1.5,23.0,
3958,sh,t0025109,Rent Change,2016-06-30,SH5812,2015-04-25,,736.0,0,1006,3,1.5,0.0,
3959,sh,t0025109,Rent Change,2017-04-30,SH5812,2015-04-25,,766.0,0,1006,3,1.5,30.0,
3960,sh,t0025109,Rent Change,2017-05-31,SH5812,2015-04-25,,761.0,0,1006,3,1.5,-5.0,
3961,sh,t0025109,Rent Change,2018-05-31,SH5812,2015-04-25,,806.66,0,1006,3,1.5,45.65999999999997,
2934,ce,t0025112,Rent Change,2015-05-12,M0004D,2015-05-30,2016-05-29,685.0,1,875,2,1.5,0.0,383 days 00:00:00.000000000
1963,ce,t0025113,Rent Change,2016-05-01,S1456G,2015-05-22,,625.0,0,675,1,1.0,0.0,
1964,ce,t0025113,Rent Change,2016-05-31,S1456G,2015-05-22,,639.0,0,675,1,1.0,14.0,
1965,ce,t0025113,Rent Change,2017-05-31,S1456G,2015-05-22,,667.0,0,675,1,1.0,28.0,
1966,ce,t0025113,Rent Change,2018-05-31,S1456G,2015-05-22,,687.0,0,675,1,1.0,20.0,
613,ce,t0025114,Rent Change,2016-05-01,C5252M,2015-05-16,,691.0,0,905,1,1.0,0.0,
614,ce,t0025114,Rent Change,2016-05-31,C5252M,2015-05-16,2016-07-07,709.0,1,905,1,1.0,18.0,37 days 00:00:00.000000000
2432,ce,t0025123,Rent Change,2016-06-30,S1500-3L,2015-07-01,2017-06-30,756.0,1,955,2,1.0,0.0,365 days 00:00:00.000000000
7165,sh,t0025129,Rent Change,2017-05-31,WC5936H,2017-01-16,,659.0,0,950,2,2.0,0.0,
967,ce,t0025130,Rent Change,2015-04-27,C5273D,2015-05-07,2016-05-01,609.0,1,675,1,1.0,0.0,370 days 00:00:00.000000000
3695,ce,t0025147,Rent Change,2015-05-06,S1456D,2015-07-31,,609.0,0,675,1,1.0,0.0,
7167,sh,t0025163,Rent Change,2015-04-29,FT5892J,2015-04-30,2016-05-29,628.0,1,984,2,1.0,0.0,396 days 00:00:00.000000000
1775,ce,t0025164,Rent Change,2016-06-30,S1452D,2015-06-27,2017-06-28,640.0,1,675,1,1.0,0.0,363 days 00:00:00.000000000
7106,sh,t0025186,Rent Change,2015-06-30,SH5848,2015-06-13,,1390.0,0,1006,2,1.5,0.0,
7107,sh,t0025186,Rent Change,2015-08-31,SH5848,2015-06-13,,695.0,0,1006,2,1.5,-695.0,
7108,sh,t0025186,Rent Change,2016-05-31,SH5848,2015-06-13,,701.0,0,1006,2,1.5,6.0,
7109,sh,t0025186,Rent Change,2016-06-30,SH5848,2015-06-13,2017-06-14,705.0,1,1006,2,1.5,4.0,349 days 00:00:00.000000000
6427,sh,t0025196,Rent Change,2016-06-30,WC5966J,2015-06-19,,648.0,0,963,2,1.5,0.0,
6428,sh,t0025196,Rent Change,2017-05-31,WC5966J,2015-06-19,,658.0,0,963,2,1.5,10.0,
6429,sh,t0025196,Rent Change,2017-06-30,WC5966J,2015-06-19,,673.0,0,963,2,1.5,15.0,
6430,sh,t0025196,Rent Change,2018-06-30,WC5966J,2015-06-19,,715.0,0,963,2,1.5,42.0,
6931,sh,t0025204,Rent Change,2017-05-31,AC1071,2017-01-20,,922.0,0,1350,3,1.5,0.0,
6932,sh,t0025204,Rent Change,2018-09-30,AC1071,2017-01-20,,1132.0,0,1350,3,1.5,210.0,
