,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
282,ce,t0039835,Rent Change,6/30/2018,C0007K,6/2/2018,,756,0,675,1,1,0,
6219,sh,t0039843,Rent Change,6/30/2018,AC1105,5/25/2018,7/31/2018,1077,1,1350,2,1.5,0,31 days 00:00:00.000000000
6656,sh,t0039859,Rent Change,8/31/2018,SH5814,6/22/2018,,840,0,1006,3,1.5,0,
7115,sh,t0039860,Rent Change,6/30/2017,WC5960M,5/31/2016,6/11/2018,653,1,963,2,1.5,0,346 days 00:00:00.000000000
8591,fh,t0039864,Rent Change,5/23/2018,1071B,6/10/2018,,984,0,700,1,1,0,
8592,fh,t0039864,Rent Change,5/23/2018,1071B,6/10/2018,,909,0,700,1,1,-75,
8610,fh,t0039869,Rent Change,5/24/2018,1025D,6/1/2018,,1248,0,912,2,1,0,
8623,fh,t0039869,Rent Change,6/1/2018,1021C,6/1/2018,,1210,0,912,2,1,-38,
3847,ce,t0039873,Rent Change,5/29/2018,M0032C,6/23/2018,,790,0,875,2,1.5,0,
3848,ce,t0039873,Rent Change,6/30/2018,M0032C,6/23/2018,,780,0,875,2,1.5,-10,
7453,sh,t0039875,Rent Change,6/25/2018,FT5824,6/30/2018,,1250,0,1350,3,1.5,0,
7417,sh,t0039891,Rent Change,6/1/2018,WAIT-2E,6/30/2018,,652,0,950,2,,0,
6984,sh,t0039891,Rent Change,6/20/2018,WC5933D,6/30/2018,,715,0,963,2,1.5,63,
5975,sh,t0039891,Rent Change,6/25/2018,SH5755,6/30/2018,,900,0,1156,3,1.5,185,
8666,fh,t0039896,Rent Change,6/14/2018,4787C,6/14/2018,10/26/2018,1192,1,912,2,1,0,134 days 00:00:00.000000000
8685,mpg,t0039899,Rent Change,5/30/2018,1986-03C,8/6/2018,,1119,0,835,1,1,0,
6985,sh,t0039903,Rent Change,6/5/2018,WC5933D,7/1/2018,,715,0,963,2,1.5,0,
7729,fh,t0039910,Rent Change,5/29/2018,4798B,7/1/2018,9/30/2018,984,1,700,1,1,0,124 days 00:00:00.000000000
8639,mpg,t0039922,Rent Change,5/30/2018,2032-02A,6/10/2018,,1299,0,895,2,2,0,
8670,fh,t0039925,Rent Change,5/30/2018,1070DS,5/30/2018,7/27/2018,1331,1,912,2,1,0,58 days 00:00:00.000000000
8281,fh,t0039930,Rent Change,9/10/2018,1014D,9/2/2018,11/15/2018,984,1,700,1,1,0,66 days 00:00:00.000000000
8297,fh,t0039931,Rent Change,6/30/2018,1103C,6/1/2018,,1098,0,700,1,1,0,
8686,mpg,t0039934,Rent Change,6/12/2018,1988-08A,7/10/2018,,1299,0,895,2,2,0,
557,ce,t0039943,Rent Change,6/30/2017,C5252F,7/15/2016,,778,0,905,1,1,0,
558,ce,t0039943,Rent Change,7/31/2017,C5252F,7/15/2016,7/5/2018,839,1,905,1,1,61,339 days 00:00:00.000000000
8624,fh,t0039944,Rent Change,5/31/2018,1021C,6/4/2018,,1210,0,912,2,1,0,
8573,fh,t0039944,Rent Change,6/1/2018,1038A,6/4/2018,,984,0,700,1,1,-226,
8612,fh,t0039944,Rent Change,6/1/2018,1025D,6/4/2018,12/28/2018,1210,1,912,2,1,226,210 days 00:00:00.000000000
8687,fh,t0039952,Rent Change,7/25/2018,1040B,8/10/2018,,984,0,700,1,1,0,
7992,mpg,t0039963,Rent Change,6/30/2018,1994-06A,6/30/2018,,1200,0,1040,2,2,0,
1632,ce,t0039964,Rent Change,7/31/2018,C5326H,7/14/2018,,719,0,675,1,1,0,
7586,fh,t0039966,Rent Change,6/2/2018,1094C,6/6/2018,,999,0,700,1,1,0,
6287,sh,t0039984,Rent Change,6/12/2018,WC5960L,7/11/2018,,715,0,963,2,1.5,0,
6439,sh,t0039993,Rent Change,7/5/2018,WC5936K,7/30/2018,,720,0,950,2,2,0,
8640,mpg,t0040001,Rent Change,6/7/2018,2032-02A,7/7/2018,,1299,0,895,2,2,0,
8037,mpg,t0040007,Rent Change,6/11/2018,2006-09A,6/20/2018,,1119,0,835,1,1,0,
8425,mpg,t0040008,Rent Change,6/9/2018,1968-03A,8/9/2018,,1050,0,835,1,1,0,
3105,ce,t0040031,Rent Change,8/2/2018,M0011A,8/3/2018,,760,0,635,1,1,0,
3481,ce,t0040033,Rent Change,8/31/2018,M0028D,8/10/2018,,819,0,875,2,1.5,0,
8693,mpg,t0040037,Rent Change,6/9/2018,1996-05A,6/15/2018,,1100,0,1040,2,2,0,
8694,mpg,t0040037,Rent Change,6/20/2018,1996-05A,6/22/2018,10/6/2018,1449,1,1040,2,2,349,108 days 00:00:00.000000000
5337,sh,t0040048,Rent Change,6/11/2018,WC5933Q,6/30/2018,,715,0,963,2,1.5,0,
7371,sh,t0040048,Rent Change,6/25/2018,WAIT-2D,6/30/2018,,641,0,1040,0,,-74,
7372,sh,t0040048,Rent Change,6/25/2018,WAIT-2D,6/30/2018,,641,0,963,2,,0,
6907,sh,t0040048,Rent Change,6/29/2018,SH5856,7/15/2018,,775,0,1006,2,1.5,134,
6908,sh,t0040048,Rent Change,7/16/2018,SH5856,7/15/2018,,814,0,1006,2,1.5,39,
7542,fh,t0040051,Rent Change,6/14/2018,1074B,6/15/2018,,1082,0,700,1,1,0,
7329,sh,t0040054,Rent Change,6/18/2018,FT5862G,7/30/2018,,650,0,932,2,1,0,
5388,sh,t0040054,Rent Change,6/20/2018,WC5966G,8/15/2018,,715,0,963,2,1.5,65,
6861,sh,t0040054,Rent Change,7/5/2018,SH5904,8/15/2018,,775,0,1006,2,1.5,60,
7178,ce,t0040056,Rent Change,7/7/2016,S1500-5M,8/15/2016,,794,0,955,2,1.5,0,
7179,ce,t0040056,Rent Change,7/31/2017,S1500-5M,8/15/2016,,803,0,955,2,1.5,9,
7180,ce,t0040056,Rent Change,8/31/2017,S1500-5M,8/15/2016,8/4/2018,809,1,955,2,1.5,6,338 days 00:00:00.000000000
7784,fh,t0040061,Rent Change,7/9/2018,WAIT2R-2,,,1050,0,912,2,,0,
8696,fh,t0040061,Rent Change,12/18/2018,4739D,12/28/2019,,1199,0,912,2,1,149,
6986,sh,t0040062,Rent Change,6/25/2018,WC5933D,6/30/2018,,715,0,963,2,1.5,0,
5132,sh,t0040063,Rent Change,6/18/2018,WC5946D,7/10/2018,,720,0,950,2,2,0,
7231,sh,t0040064,Rent Change,6/21/2018,TH5975,7/20/2018,,900,0,1156,3,1.5,0,
6096,sh,t0040072,Rent Change,6/14/2018,TH5839,6/30/2018,,775,0,1006,2,1.5,0,
6382,sh,t0040072,Rent Change,7/6/2018,TH5981,7/6/2018,,800,0,1006,3,1.5,25,
5494,sh,t0040086,Rent Change,6/14/2018,FT5880C,7/25/2018,,685,0,984,2,1,0,
6390,sh,t0040086,Rent Change,7/26/2018,FT5880K,7/26/2018,,745,0,984,2,1,60,
6391,sh,t0040086,Rent Change,9/30/2018,FT5880K,7/26/2018,,1430,0,984,2,1,685,
6392,sh,t0040086,Rent Change,10/31/2018,FT5880K,7/26/2018,,685,0,984,2,1,-745,
363,ce,t0040093,Rent Change,6/30/2018,C0011G,6/21/2018,,890,0,905,2,1,0,
8698,fh,t0040097,Rent Change,6/15/2018,1060D,7/12/2018,,999,0,700,1,1,0,
8441,mpg,t0040099,Rent Change,6/30/2018,1968-02A,6/29/2018,,1731,0,1240,2,3,0,
2828,ce,t0040102,Rent Change,9/30/2017,M0001C,10/15/2016,,754,0,875,2,1.5,0,
2829,ce,t0040102,Rent Change,10/31/2017,M0001C,10/15/2016,6/30/2018,758,1,875,2,1.5,4,242 days 00:00:00.000000000
8699,fh,t0040108,Rent Change,8/14/2018,1041C,8/10/2018,,984,0,700,1,1,0,
8383,mpg,t0040113,Rent Change,8/31/2018,1976-03B,8/2/2018,12/27/2018,1449,1,1040,2,2,0,118 days 00:00:00.000000000
7917,mpg,t0040121,Rent Change,6/30/2018,1976-02B,7/14/2018,,1150,0,930,2,2,0,
8099,mpg,t0040132,Rent Change,6/19/2018,2024-08A,7/16/2018,,1119,0,835,1,1,0,
8701,mpg,t0040132,Rent Change,6/19/2018,1990-05A,7/18/2018,,1449,0,1040,2,2,330,
6106,sh,t0040133,Rent Change,4/30/2017,FT5841,4/29/2016,,991,0,1350,3,1.5,0,
6107,sh,t0040133,Rent Change,5/31/2017,FT5841,4/29/2016,,1015,0,1350,3,1.5,24,
6108,sh,t0040133,Rent Change,5/31/2018,FT5841,4/29/2016,7/3/2018,1075.9,1,1350,3,1.5,60.9,33 days 00:00:00.000000000
4623,sh,t0040151,Rent Change,6/20/2018,AC1137,6/30/2018,,1175,0,1350,2,1.5,0,
4624,sh,t0040151,Rent Change,6/21/2018,AC1137,6/30/2018,,1175,0,1350,2,1.5,0,
4963,sh,t0040151,Rent Change,6/21/2018,AC1132,6/30/2018,,1250,0,1350,3,1.5,75,
3143,ce,t0040156,Rent Change,3/28/2018,M0012E,3/28/2018,8/3/2018,858,1,875,2,1.5,0,128 days 00:00:00.000000000
8702,mpg,t0040160,Rent Change,6/29/2018,2036-06B,7/2/2018,,1594,0,1040,2,2,0,
2830,ce,t0040164,Rent Change,6/28/2018,M0001C,8/1/2018,,790,0,875,2,1.5,0,
2831,ce,t0040164,Rent Change,8/31/2018,M0001C,8/1/2018,,869,0,875,2,1.5,79,
7454,sh,t0040171,Rent Change,6/22/2018,FT5824,8/1/2018,,1250,0,1350,3,1.5,0,
4332,sh,t0040171,Rent Change,7/11/2018,TH5916,9/10/2018,,900,0,1156,3,1.5,-350,
