CommUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
ce,,,C5305F,Residential,us,,,,,,1/30/2019,5305 Camelot Drive F,,,,Fairfield,OH,45014,675,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305G,Residential,us,,,,,,7/31/2017,5305 Camelot Drive G,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305H,Residential,us,,,,,,6/30/2016,5305 Camelot Drive H,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305J,Residential,us,,,,,,12/15/2015,5305 Camelot Drive J,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305K,Residential,us,,,,,,3/25/2017,5305 Camelot Drive K,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305L,Residential,us,,,,,,4/28/2018,5305 Camelot Drive L,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305M,Residential,us,,,,,,9/14/2018,5305 Camelot Drive M,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,"Major active leak in bedroom moving into living room.  Was 100% rehabed, Roof is being repaired, will need major drywall repair, new carpet in bedroom, mold treatment, subfloor repair"
ce,,,C5307A,Residential,us,,,,,,9/8/2014,5307 Camelot Drive A,,,,Fairfield,OH,45014,665,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307B,Residential,us,,,,,,11/26/2018,5307 Camelot Drive B,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307C,Residential,us,,,,,,11/2/2018,5307 Camelot Drive C,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
